Provider,Category,Solution Name,Description,Pre Sales Templates,Delivery Templates,Status
AWS,Cloud Infrastructure,EC2 Deployment,Comprehensive EC2 instance deployment and configuration,https://github.com/eoframework/templates/tree/main/aws/cloud-infrastructure/ec2-deployment/presales,https://github.com/eoframework/templates/tree/main/aws/cloud-infrastructure/ec2-deployment/delivery,Active
AWS,Security,IAM Implementation,Identity and Access Management setup and best practices,https://github.com/eoframework/templates/tree/main/aws/security/iam-implementation/presales,https://github.com/eoframework/templates/tree/main/aws/security/iam-implementation/delivery,Active
AWS,Data Analytics,Redshift Data Warehouse,Enterprise data warehouse solution using Amazon Redshift,https://github.com/eoframework/templates/tree/main/aws/data-analytics/redshift-data-warehouse/presales,https://github.com/eoframework/templates/tree/main/aws/data-analytics/redshift-data-warehouse/delivery,Active
Azure,Cloud Infrastructure,Virtual Machine Deployment,Azure VM deployment with best practices and security,https://github.com/eoframework/templates/tree/main/azure/cloud-infrastructure/virtual-machine-deployment/presales,https://github.com/eoframework/templates/tree/main/azure/cloud-infrastructure/virtual-machine-deployment/delivery,Active
Azure,Security,Azure AD Integration,Active Directory integration and SSO implementation,https://github.com/eoframework/templates/tree/main/azure/security/azure-ad-integration/presales,https://github.com/eoframework/templates/tree/main/azure/security/azure-ad-integration/delivery,Active
Azure,DevOps,Azure DevOps Pipeline,CI/CD pipeline setup and configuration,https://github.com/eoframework/templates/tree/main/azure/devops/azure-devops-pipeline/presales,https://github.com/eoframework/templates/tree/main/azure/devops/azure-devops-pipeline/delivery,Active
Google Cloud,Machine Learning,Vertex AI Implementation,ML model deployment using Google Vertex AI,https://github.com/eoframework/templates/tree/main/google-cloud/machine-learning/vertex-ai-implementation/presales,https://github.com/eoframework/templates/tree/main/google-cloud/machine-learning/vertex-ai-implementation/delivery,Active
Google Cloud,Data Analytics,BigQuery Analytics,Big data analytics platform implementation,https://github.com/eoframework/templates/tree/main/google-cloud/data-analytics/bigquery-analytics/presales,https://github.com/eoframework/templates/tree/main/google-cloud/data-analytics/bigquery-analytics/delivery,Active
Google Cloud,Container Platform,GKE Deployment,Google Kubernetes Engine cluster setup,https://github.com/eoframework/templates/tree/main/google-cloud/container-platform/gke-deployment/presales,https://github.com/eoframework/templates/tree/main/google-cloud/container-platform/gke-deployment/delivery,Active
IBM,Enterprise Integration,IBM MQ Implementation,Message queuing middleware deployment,https://github.com/eoframework/templates/tree/main/ibm/enterprise-integration/ibm-mq-implementation/presales,https://github.com/eoframework/templates/tree/main/ibm/enterprise-integration/ibm-mq-implementation/delivery,Active
IBM,AI/Analytics,Watson Analytics,AI-powered business intelligence solution,https://github.com/eoframework/templates/tree/main/ibm/ai-analytics/watson-analytics/presales,https://github.com/eoframework/templates/tree/main/ibm/ai-analytics/watson-analytics/delivery,Active
IBM,Mainframe,z/OS Modernization,Legacy mainframe system modernization,https://github.com/eoframework/templates/tree/main/ibm/mainframe/zos-modernization/presales,https://github.com/eoframework/templates/tree/main/ibm/mainframe/zos-modernization/delivery,Active
Nutanix,Hyper-Converged,HCI Deployment,Hyperconverged infrastructure implementation,https://github.com/eoframework/templates/tree/main/nutanix/hyper-converged/hci-deployment/presales,https://github.com/eoframework/templates/tree/main/nutanix/hyper-converged/hci-deployment/delivery,Active
Nutanix,Database,Era Database Management,Database lifecycle management platform,https://github.com/eoframework/templates/tree/main/nutanix/database/era-database-management/presales,https://github.com/eoframework/templates/tree/main/nutanix/database/era-database-management/delivery,Active
Nutanix,Cloud Platform,Calm Automation,Multi-cloud application lifecycle management,https://github.com/eoframework/templates/tree/main/nutanix/cloud-platform/calm-automation/presales,https://github.com/eoframework/templates/tree/main/nutanix/cloud-platform/calm-automation/delivery,Active
VMware,Virtualization,vSphere Infrastructure,Virtual infrastructure deployment and management,https://github.com/eoframework/templates/tree/main/vmware/virtualization/vsphere-infrastructure/presales,https://github.com/eoframework/templates/tree/main/vmware/virtualization/vsphere-infrastructure/delivery,Active
VMware,Cloud Platform,vCloud Foundation,Private cloud platform implementation,https://github.com/eoframework/templates/tree/main/vmware/cloud-platform/vcloud-foundation/presales,https://github.com/eoframework/templates/tree/main/vmware/cloud-platform/vcloud-foundation/delivery,Active
VMware,Security,NSX Network Security,Software-defined networking and security,https://github.com/eoframework/templates/tree/main/vmware/security/nsx-network-security/presales,https://github.com/eoframework/templates/tree/main/vmware/security/nsx-network-security/delivery,Active
Microsoft,Productivity,Office 365 Migration,Enterprise Office 365 deployment and migration,https://github.com/eoframework/templates/tree/main/microsoft/productivity/office-365-migration/presales,https://github.com/eoframework/templates/tree/main/microsoft/productivity/office-365-migration/delivery,Active
Microsoft,Database,SQL Server Implementation,Enterprise database deployment and optimization,https://github.com/eoframework/templates/tree/main/microsoft/database/sql-server-implementation/presales,https://github.com/eoframework/templates/tree/main/microsoft/database/sql-server-implementation/delivery,Active
Microsoft,Business Intelligence,Power BI Analytics,Self-service business intelligence solution,https://github.com/eoframework/templates/tree/main/microsoft/business-intelligence/power-bi-analytics/presales,https://github.com/eoframework/templates/tree/main/microsoft/business-intelligence/power-bi-analytics/delivery,Active
Cisco,Networking,SD-WAN Deployment,Software-defined wide area network implementation,https://github.com/eoframework/templates/tree/main/cisco/networking/sd-wan-deployment/presales,https://github.com/eoframework/templates/tree/main/cisco/networking/sd-wan-deployment/delivery,Active
Cisco,Security,ISE Implementation,Identity Services Engine deployment,https://github.com/eoframework/templates/tree/main/cisco/security/ise-implementation/presales,https://github.com/eoframework/templates/tree/main/cisco/security/ise-implementation/delivery,Active
Cisco,Collaboration,Webex Platform,Enterprise collaboration platform deployment,https://github.com/eoframework/templates/tree/main/cisco/collaboration/webex-platform/presales,https://github.com/eoframework/templates/tree/main/cisco/collaboration/webex-platform/delivery,Active
Oracle,Database,Oracle Cloud Database,Enterprise database cloud migration,https://github.com/eoframework/templates/tree/main/oracle/database/oracle-cloud-database/presales,https://github.com/eoframework/templates/tree/main/oracle/database/oracle-cloud-database/delivery,Active
Oracle,Enterprise Applications,ERP Cloud Implementation,Oracle ERP cloud deployment,https://github.com/eoframework/templates/tree/main/oracle/enterprise-applications/erp-cloud-implementation/presales,https://github.com/eoframework/templates/tree/main/oracle/enterprise-applications/erp-cloud-implementation/delivery,Active
Oracle,Integration,OIC Implementation,Oracle Integration Cloud platform setup,https://github.com/eoframework/templates/tree/main/oracle/integration/oic-implementation/presales,https://github.com/eoframework/templates/tree/main/oracle/integration/oic-implementation/delivery,Active